records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,capacitity_moist,temp,moist,ec_(u/10_gram),ph,nitro_(mg/10_g),posh_nitro_(mg/10_g),pota_nitro_(mg/10_g),Soil Health,Soil_Type,ML,Test_Case
194,185,50,120,5,73,71,18,26,49,28,4,22,10,8,23,43,10,2,2,36.3,28,66,7.68,6,8,16,Moderate,11,25,225
195,184,50,120,7,73,74,18,26,50,28,4,22,12,8,23,45,10,1,6,36.3,28,66,7.87,6,8,16,Moderate,11,25,226
196,180,50,117,5,71,70,18,26,49,28,4,21,10,7,22,43,10,1,5,36.3,28,66,7.87,6,8,16,Moderate,11,25,227
197,179,50,116,6,71,72,18,26,49,28,4,22,10,8,23,44,10,1,7,36.3,28,66,7.87,6,8,16,Moderate,11,25,228
198,178,50,116,3,71,65,17,24,46,28,108,21,10,8,23,41,10,1,1,36.3,29,66,7.87,6,8,16,Moderate,11,25,229
199,180,50,117,3,71,65,17,24,46,28,108,21,10,7,22,41,10,1,0,36.3,29,66,7.88,6,8,16,Moderate,11,25,221
200,218,56,127,11,83,78,20,31,46,39,103,21,10,9,24,50,11,2,13,36.3,90,66,7.04,6,8,16,Poor,11,50,230
201,204,54,119,11,78,78,21,32,48,40,102,22,12,9,24,49,11,2,17,36.3,87,66,7.87,6,8,16,Poor,11,50,232
202,216,56,125,6,82,71,19,28,43,39,96,20,10,8,23,40,11,1,9,36.3,90,66,7.04,6,8,16,Poor,11,50,233
203,215,56,125,9,81,76,20,31,46,40,103,21,10,9,24,44,12,2,12,36.3,89,66,7.04,6,8,16,Poor,11,50,234
204,212,55,124,7,81,71,18,29,43,40,96,20,10,7,23,39,11,1,15,36.3,89,66,7.04,6,8,16,Poor,11,50,235
205,209,56,123,9,80,77,20,31,46,40,102,21,10,8,23,42,11,2,11,36.3,89,66,7.84,6,8,16,Poor,11,50,236
206,208,55,123,10,80,77,20,31,47,40,102,21,10,8,23,42,11,2,14,36.3,89,66,7.84,6,8,16,Poor,11,50,237
207,207,55,123,10,80,78,20,31,48,40,102,21,10,8,23,43,11,2,10,36.3,87,66,7.84,6,8,16,Poor,11,50,238
208,206,54,121,6,79,70,19,29,44,40,97,21,10,8,23,39,11,1,8,36.3,87,66,7.84,6,8,16,Poor,11,50,239
209,205,54,120,8,79,74,21,31,46,40,103,22,10,9,24,42,11,2,16,36.3,87,66,7.87,6,8,16,Poor,11,50,231
150,86,22,56,56,42,44,26,38,32,52,99,22,7,6,17,13,7,2,330,35,0,0,7.96,0,0,0,Poor,115,0,180
151,83,22,56,53,41,39,24,35,29,52,93,21,6,6,17,10,7,1,340,35,0,0,7.92,0,0,0,Poor,115,0,182
152,84,22,55,53,41,39,24,35,29,51,93,21,6,6,16,10,7,1,325,35,0,0,7.96,0,0,0,Poor,115,0,183
153,84,22,56,57,41,47,26,38,33,51,99,22,7,6,16,13,7,2,323,35,0,0,7.96,0,0,0,Poor,115,0,184
154,84,22,56,55,42,43,26,37,31,51,98,21,7,6,17,12,7,2,331,35,0,0,7.96,0,0,0,Poor,115,0,185
155,84,22,56,55,42,43,25,37,31,51,98,21,7,6,17,13,7,2,328,35,0,0,7.96,0,0,0,Poor,115,0,186
156,84,22,56,56,41,46,26,38,32,52,98,22,7,6,17,12,7,2,327,35,0,0,7.96,0,0,0,Poor,115,0,187
157,84,22,56,56,42,46,26,38,33,52,99,22,7,6,17,13,7,2,371,35,0,0,7.92,0,0,0,Poor,115,0,188
158,84,22,56,56,41,46,26,38,33,51,99,22,7,6,17,13,7,2,331,35,0,0,7.92,0,0,0,Poor,115,0,189
159,84,22,56,46,42,19,19,29,19,52,93,19,5,4,17,9,7,1,269,35,0,0,7.92,0,0,0,Poor,115,0,181
160,24,5,13,46,9,23,11,17,0,22,75,16,3,3,6,135,2,1,171,35.1,11,39,8.07,5,6,11,Poor,115,25,190
161,23,6,12,44,9,18,9,15,146,22,70,15,2,3,6,133,2,1,131,35.1,17,44,7.97,5,6,12,Moderate,115,25,192
162,24,6,13,43,10,17,9,15,145,22,70,15,2,3,6,133,2,1,134,35.1,12,40,8.07,5,6,11,Poor,115,25,193
163,24,5,13,40,10,7,7,13,141,22,74,15,1,2,6,131,2,1,137,35.1,12,41,8.02,5,6,11,Poor,115,25,194
164,24,6,13,43,9,18,9,15,146,22,70,15,2,3,6,133,2,1,131,35.1,13,41,8.02,5,6,11,Poor,115,25,195
165,23,6,13,47,9,21,10,17,147,22,75,16,2,3,6,135,2,1,105,35.1,13,42,8.02,5,6,12,Poor,115,25,196
166,23,6,13,45,9,22,11,17,147,22,74,16,3,3,6,135,2,1,132,35.1,16,42,8.02,5,6,12,Poor,115,25,197
167,24,5,13,46,9,24,11,17,0,22,75,16,3,3,6,135,2,1,130,35.1,17,43,7.97,5,6,12,Moderate,115,25,198
168,23,6,13,53,9,39,14,22,6,22,75,17,4,4,6,139,2,2,130,35.1,17,43,7.97,5,6,12,Moderate,115,25,199
169,23,5,13,46,9,23,10,17,0,22,75,16,3,3,6,134,2,1,133,35.1,18,43,7.97,5,6,12,Moderate,115,25,191
170,46,12,28,45,19,24,11,19,5,24,77,16,4,4,10,150,3,1,111,35.2,87,66,7.67,6,8,16,Poor,115,50,200
171,41,11,26,45,17,24,11,19,5,24,77,17,4,4,10,149,4,1,102,35.2,93,66,7.46,6,8,16,Poor,115,50,202
172,45,11,27,45,19,25,11,19,5,24,77,16,4,4,9,150,3,1,103,35.2,87,66,7.67,6,8,16,Poor,115,50,203
173,44,11,28,48,19,31,13,21,8,24,81,17,4,4,10,152,4,1,83,35.2,88,66,7.01,6,8,16,Poor,115,50,204
174,44,11,28,48,18,31,13,21,8,24,82,17,4,4,10,151,4,1,102,35.2,88,66,7.01,6,8,16,Poor,115,50,205
175,43,11,27,42,18,16,9,17,2,24,82,16,3,3,9,147,4,1,83,35.2,90,66,7.01,6,8,16,Poor,115,50,206
176,42,11,27,47,18,29,13,21,7,24,82,17,4,4,10,151,4,1,104,35.2,91,66,7.01,6,8,16,Poor,115,50,207
177,42,11,27,47,18,30,13,21,8,24,82,17,4,4,10,152,4,1,93,35.2,91,66,7.46,6,8,16,Poor,115,50,208
178,42,11,27,47,18,30,13,21,8,24,82,17,5,4,10,152,4,1,105,35.2,92,66,7.46,6,8,16,Poor,115,50,209
179,41,11,26,48,17,31,13,21,8,24,82,17,5,4,10,152,4,1,111,35.2,93,66,7.46,6,8,16,Poor,115,50,201
210,158,49,114,10,85,84,44,63,83,78,24,4,14,11,31,52,13,2,328,37.8,0,0,7.29,0,0,0,Poor,121,0,240
211,156,49,113,9,85,82,45,64,81,78,23,4,13,10,30,51,13,1,331,37.8,0,0,7.16,0,0,0,Poor,121,0,242
212,157,49,113,7,85,77,42,60,79,78,17,3,13,10,30,49,13,2,331,37.8,0,0,7.29,0,0,0,Poor,121,0,243
213,156,49,113,10,85,82,45,64,82,78,23,4,13,10,30,51,13,2,330,37.8,0,0,7.29,0,0,0,Poor,121,0,244
214,157,49,113,2,85,65,39,56,72,78,24,2,12,9,30,45,13,2,335,37.8,0,0,7.29,0,0,0,Poor,121,0,245
215,157,49,113,7,85,77,42,61,79,78,17,3,13,10,30,49,13,2,329,37.8,0,0,7.15,0,0,0,Poor,121,0,246
216,156,49,113,7,85,76,42,60,79,78,17,3,13,10,30,48,13,2,329,37.8,0,0,7.15,0,0,0,Poor,121,0,247
217,156,49,113,21,85,106,51,71,96,78,23,6,16,12,30,61,13,3,345,37.8,0,0,7.15,0,0,0,Poor,121,0,248
218,156,49,113,11,85,85,45,64,83,78,24,4,14,11,30,52,13,2,333,37.8,0,0,7.15,0,0,0,Poor,121,0,249
219,156,49,113,7,85,77,43,61,79,78,17,3,13,10,30,49,13,2,325,37.8,0,0,7.16,0,0,0,Poor,121,0,241
220,39,11,26,42,17,12,11,17,5,25,82,17,2,3,10,147,4,1,163,37.8,56,66,7.98,6,8,16,Moderate,121,25,250
221,38,12,26,47,17,26,15,22,13,26,88,18,4,4,10,148,4,1,160,37.8,54,66,7.08,6,8,16,Moderate,121,25,252
222,38,11,26,49,17,31,15,23,15,25,87,18,4,4,10,149,4,1,209,37.8,55,66,7.98,6,8,16,Moderate,121,25,253
223,38,11,26,46,17,24,14,21,12,26,82,17,4,4,10,147,4,1,163,37.8,55,66,7.24,6,8,16,Moderate,121,25,254
224,38,12,26,49,17,31,15,23,15,26,87,18,4,4,10,149,4,1,166,37.8,55,66,7.24,6,8,16,Moderate,121,25,255
225,38,12,26,49,17,30,15,23,15,26,88,18,4,4,10,149,4,1,170,37.8,55,66,7.24,6,8,16,Moderate,121,25,256
226,38,12,26,49,17,31,16,23,15,26,87,18,4,4,10,149,4,1,163,37.8,55,66,7.24,6,8,16,Moderate,121,25,257
227,38,12,26,46,17,25,14,21,12,26,82,18,3,4,10,147,4,1,222,37.8,55,66,7.08,6,8,16,Moderate,121,25,258
228,38,12,27,50,17,33,16,24,16,26,88,18,4,4,10,150,4,1,179,37.8,55,66,7.08,6,8,16,Moderate,121,25,259
229,38,12,26,48,17,29,15,23,14,26,88,18,4,4,10,149,4,1,164,37.8,55,66,7.08,6,8,16,Moderate,121,25,251
230,71,17,39,48,24,29,16,23,13,26,79,18,4,4,10,144,4,1,59,37.9,145,124,7.7,10,13,28,Poor,121,50,260
231,55,14,32,48,20,26,16,22,12,25,78,18,4,4,10,143,5,1,42,37.9,141,133,7.15,10,13,29,Poor,121,50,262
232,67,16,37,49,23,29,16,23,13,25,79,18,4,4,10,144,4,1,47,37.9,145,126,7.7,10,13,28,Poor,121,50,263
233,63,16,36,48,23,28,16,23,13,25,79,18,4,4,10,144,5,1,51,37.9,144,127,7.26,10,13,28,Poor,121,50,264
234,62,16,34,52,22,32,17,24,15,25,84,19,4,5,10,146,5,1,37,37.9,144,128,7.26,10,13,28,Poor,121,50,265
235,59,15,33,50,22,33,17,24,15,25,84,19,4,5,10,146,5,1,34,37.9,143,128,7.26,10,13,28,Poor,121,50,266
236,58,15,34,47,22,27,16,22,12,25,79,18,4,4,10,144,5,1,42,37.9,143,130,7.26,10,13,29,Poor,121,50,267
237,57,15,33,50,21,31,17,24,14,25,84,18,4,4,10,145,4,1,38,37.9,143,131,7.15,10,13,29,Poor,121,50,268
238,56,15,32,49,21,31,17,24,14,25,84,18,4,4,10,145,5,1,40,37.9,142,131,7.15,10,13,29,Poor,121,50,269
239,56,15,32,42,21,12,12,18,5,25,78,17,3,3,10,143,5,1,46,37.9,141,132,7.15,10,13,29,Poor,121,50,261
270,47,15,37,53,31,46,16,24,25,31,88,19,5,5,11,149,4,1,345,36.3,168,130,8.02,10,13,29,Poor,13,0,300
271,46,15,37,53,31,45,16,24,25,31,88,19,5,5,11,149,4,1,337,36.5,0,0,7.17,0,0,0,Poor,13,0,302
272,47,15,37,53,31,47,17,25,25,31,88,19,5,5,11,149,4,1,331,36.4,0,0,7.19,0,0,0,Poor,13,0,303
273,46,15,37,62,31,66,21,30,35,31,88,21,7,6,11,154,4,2,336,36.4,0,0,7.19,0,0,0,Poor,13,0,304
274,46,15,37,51,30,42,15,23,23,31,83,18,5,4,11,148,4,0,321,36.4,0,0,7.19,0,0,0,Poor,13,0,305
275,46,15,37,51,31,42,15,23,23,31,83,18,5,4,11,147,4,1,331,36.4,0,0,7.15,0,0,0,Poor,13,0,306
276,46,15,37,53,30,46,17,25,25,31,87,19,5,5,11,149,4,1,330,36.4,0,0,7.15,0,0,0,Poor,13,0,307
277,45,15,37,49,30,33,14,20,19,31,88,18,4,4,11,145,4,1,353,36.4,0,0,7.15,0,0,0,Poor,13,0,308
278,46,15,37,51,30,42,15,23,23,31,83,18,5,4,11,147,4,1,332,36.4,0,0,7.15,0,0,0,Poor,13,0,309
279,46,15,37,56,31,48,17,25,26,31,88,19,5,5,11,150,4,1,336,36.4,0,0,7.17,0,0,0,Poor,13,0,301
280,5,1,3,45,4,30,7,9,143,3,70,15,2,3,4,130,0,1,156,36.5,66,66,7.7,6,8,16,Poor,13,25,310
281,4,2,3,43,4,24,6,7,141,3,66,14,2,3,4,128,1,1,137,36.5,65,66,7.7,6,8,16,Poor,13,25,312
282,5,2,3,43,4,24,6,7,141,3,66,14,1,3,4,129,1,1,129,36.5,66,66,6.97,6,8,16,Poor,13,25,313
283,5,1,3,38,4,10,3,4,136,3,66,14,1,2,4,128,1,1,139,36.5,66,66,6.97,6,8,16,Poor,13,25,314
284,5,1,3,46,4,28,7,8,143,3,71,15,2,3,4,130,1,1,138,36.5,66,66,6.97,6,8,16,Poor,13,25,315
285,4,2,3,46,4,31,7,9,144,3,71,15,2,3,4,130,1,1,141,36.5,66,66,6.97,6,8,16,Poor,13,25,316
286,5,2,3,46,4,31,7,9,144,3,71,15,2,3,4,130,1,1,135,36.5,66,66,7.7,6,8,16,Poor,13,25,317
287,4,1,3,46,4,30,7,9,144,3,70,15,2,3,4,130,1,1,145,36.5,66,66,7.7,6,8,16,Poor,13,25,318
288,4,2,3,44,4,28,7,8,143,3,71,15,2,3,4,129,1,1,141,36.5,66,66,7.7,6,8,16,Poor,13,25,319
289,5,1,3,46,4,30,7,9,144,3,71,15,2,3,4,130,1,1,132,36.5,65,66,7.7,6,8,16,Poor,13,25,311
290,19,11,38,52,32,38,8,11,144,10,73,15,3,4,4,127,1,1,128,36.7,101,70,7.58,6,8,17,Poor,13,50,320
291,27,8,30,42,20,23,5,8,139,9,73,14,4,3,4,124,1,1,120,36.7,98,75,7.92,7,8,18,Poor,13,50,322
292,22,9,32,50,31,35,7,10,142,10,68,15,3,3,4,126,1,1,133,36.6,102,71,7.58,7,8,17,Poor,13,50,323
293,22,9,29,49,29,35,7,10,142,9,68,15,3,3,4,126,1,1,121,36.7,99,74,7.58,7,8,17,Poor,13,50,324
294,18,8,28,51,27,41,8,12,145,10,73,15,4,4,4,127,1,1,62,36.7,99,75,7.58,7,8,18,Poor,13,50,325
295,17,8,29,49,25,39,8,12,144,9,73,15,4,4,4,127,1,1,134,36.7,99,75,7.97,7,8,18,Poor,13,50,326
296,18,7,28,50,22,40,8,12,145,9,73,15,4,4,4,127,1,1,133,36.7,99,75,7.97,7,8,18,Poor,13,50,327
297,18,7,29,47,21,33,7,10,143,9,68,15,4,4,4,126,1,1,133,36.7,99,74,7.97,7,8,18,Poor,13,50,328
298,20,7,31,47,21,33,7,11,143,9,68,15,5,4,4,126,1,1,134,36.7,98,75,7.97,7,8,18,Poor,13,50,329
299,22,7,31,50,20,37,9,12,144,9,73,16,5,4,4,130,1,1,127,36.7,98,75,7.92,7,8,18,Poor,13,50,321
240,100,28,74,58,48,53,25,40,36,51,98,22,7,6,16,9,8,2,327,35.8,0,0,7.72,0,0,0,Poor,137,0,270
241,99,28,74,58,48,52,24,39,36,51,98,22,7,6,16,9,8,2,324,35.8,0,0,7.68,0,0,0,Poor,137,0,272
242,99,28,74,4,48,73,29,46,46,51,98,0,9,8,16,16,8,2,327,35.8,0,0,7.72,0,0,0,Poor,137,0,273
243,99,28,74,56,48,47,23,37,34,51,92,21,7,6,16,7,8,1,327,35.8,0,0,7.72,0,0,0,Poor,137,0,274
244,99,28,74,60,48,56,25,40,38,51,97,22,8,6,16,10,8,2,325,35.8,0,0,7.72,0,0,0,Poor,137,0,275
245,98,28,74,55,48,47,23,37,33,51,92,21,7,6,16,7,8,1,328,35.8,0,0,7.72,0,0,0,Poor,137,0,276
246,98,28,74,56,48,48,23,37,34,51,92,21,7,6,16,7,8,1,324,35.8,0,0,7.76,0,0,0,Poor,137,0,277
247,98,28,73,50,48,36,20,33,28,51,98,20,6,5,16,3,8,1,331,35.8,0,0,7.76,0,0,0,Poor,137,0,278
248,99,28,74,59,48,56,25,40,38,51,98,22,8,6,16,10,8,2,328,35.8,0,0,7.76,0,0,0,Poor,137,0,279
249,99,28,74,56,48,48,23,37,34,51,92,21,7,6,16,7,8,1,300,35.8,0,0,7.68,0,0,0,Poor,137,0,271
250,36,9,23,48,14,30,11,16,4,16,75,17,3,3,7,137,3,1,257,35.8,26,45,7.59,5,6,12,Moderate,137,25,280
251,35,9,23,47,13,26,10,16,2,16,75,17,3,3,7,136,3,1,217,35.9,25,50,7.97,5,7,13,Moderate,137,25,282
252,36,9,23,45,13,22,9,14,1,16,70,16,3,3,7,135,3,1,169,35.8,27,46,7.59,5,6,12,Moderate,137,25,283
253,35,9,23,41,13,12,7,11,145,16,75,15,2,2,7,132,3,1,219,35.8,27,47,7.59,5,6,12,Moderate,137,25,284
254,35,9,23,45,13,22,9,14,1,16,70,16,3,3,7,135,3,1,217,35.8,26,47,7.59,5,6,12,Moderate,137,25,285
255,35,9,23,41,13,12,7,11,145,16,75,16,2,2,7,133,3,1,230,35.8,27,48,8.02,5,6,13,Poor,137,25,286
256,35,9,23,45,13,22,9,14,1,16,70,16,3,3,7,135,3,1,220,35.9,27,48,8.02,5,6,13,Poor,137,25,287
257,35,9,23,40,13,10,7,11,144,16,75,15,2,2,7,132,3,1,223,35.8,25,49,8.02,5,6,13,Poor,137,25,288
258,35,9,23,45,13,22,9,14,1,16,70,16,3,3,7,135,3,1,222,35.8,25,49,8.02,5,6,13,Poor,137,25,289
259,35,9,23,42,13,10,6,11,144,16,75,15,2,2,7,132,3,1,225,35.9,26,49,7.97,5,6,13,Moderate,137,25,281
260,27,6,11,46,8,18,14,20,3,24,78,16,2,3,7,142,2,1,116,36,121,92,7.88,8,10,21,Poor,137,50,290
261,25,6,11,48,7,19,14,20,4,24,78,17,2,3,7,142,2,1,104,36,119,93,7.97,8,10,21,Poor,137,50,292
262,26,6,11,47,7,21,14,20,5,24,78,17,2,3,7,142,2,1,61,36,120,92,8.07,8,10,21,Poor,137,50,293
263,27,6,11,47,7,21,14,20,5,24,78,17,2,3,7,143,2,1,105,36,120,93,8.07,8,10,21,Poor,137,50,294
264,26,6,11,40,7,6,10,16,146,24,78,15,1,2,7,138,2,1,105,36,120,93,8.07,8,10,21,Poor,137,50,295
265,26,6,11,44,7,15,13,18,2,24,73,16,2,2,7,141,2,1,94,36,120,93,8.07,8,10,21,Poor,137,50,296
266,25,6,11,46,7,19,14,20,4,24,78,17,2,3,7,142,2,1,89,36,119,92,8.02,8,10,21,Poor,137,50,297
267,26,6,11,47,7,21,14,20,5,24,78,17,2,3,7,142,2,1,100,36,119,93,8.02,8,10,21,Poor,137,50,298
268,25,6,11,46,7,19,14,20,4,24,79,17,2,3,7,142,2,1,104,36,119,93,8.02,8,10,21,Poor,137,50,299
269,25,6,11,47,7,21,14,20,5,24,78,17,2,3,7,142,2,1,105,36,119,92,8.02,8,10,21,Poor,137,50,291
300,136,39,90,3,62,80,27,43,58,61,2,23,16,13,25,39,12,2,338,37.9,0,0,7.28,0,0,0,Poor,140,0,330
301,133,39,89,0,61,74,26,41,55,60,2,23,15,12,25,37,12,2,346,37.9,0,0,7.88,0,0,0,Poor,140,0,332
302,135,39,89,0,61,75,27,43,56,61,3,23,15,12,25,37,12,2,367,37.9,0,0,7.28,0,0,0,Poor,140,0,333
303,134,39,89,3,61,76,27,43,56,60,2,0,15,12,25,44,12,2,341,37.9,0,0,7.28,0,0,0,Poor,140,0,334
304,134,39,89,1,61,73,26,42,54,60,105,23,14,11,25,42,12,2,339,37.9,0,0,7.87,0,0,0,Poor,140,0,335
305,134,38,89,1,61,77,27,43,57,60,2,23,14,11,24,37,12,2,343,37.9,0,0,7.87,0,0,0,Poor,140,0,336
306,134,39,90,0,62,74,27,42,55,60,3,23,16,13,26,36,13,2,336,37.9,0,0,7.87,0,0,0,Poor,140,0,337
307,134,39,89,10,61,96,31,49,67,60,2,1,17,14,25,45,12,2,340,37.9,0,0,7.87,0,0,0,Poor,140,0,338
308,134,39,89,61,61,69,25,40,53,61,105,23,16,12,26,34,12,2,384,37.9,0,0,7.88,0,0,0,Poor,140,0,339
309,134,39,89,0,62,73,26,41,55,61,2,23,16,12,26,37,13,2,362,37.9,0,0,7.88,0,0,0,Poor,140,0,331
310,82,24,55,56,43,57,12,17,31,19,86,18,13,8,15,155,6,1,341,37.9,61,66,7.38,6,8,16,Poor,140,25,340
311,80,24,56,52,43,48,10,15,27,19,81,17,10,7,15,152,6,1,331,37.9,60,66,7.92,6,8,16,Moderate,140,25,342
312,81,24,55,55,43,55,11,17,30,19,86,17,13,8,15,154,6,1,346,37.9,61,66,7.38,6,8,16,Poor,140,25,343
313,81,24,55,54,43,52,11,17,29,19,87,17,12,8,15,153,6,1,335,37.9,61,66,7.38,6,8,16,Poor,140,25,344
314,80,24,56,52,43,47,10,15,26,19,80,17,10,7,15,152,6,1,339,37.9,60,66,7.67,6,8,16,Moderate,140,25,345
315,81,24,56,55,43,55,11,17,30,19,86,17,12,8,15,154,6,1,358,37.9,60,66,7.67,6,8,16,Moderate,140,25,346
316,81,24,56,51,42,45,9,14,25,19,86,17,10,7,15,151,6,1,346,37.9,60,66,7.67,6,8,16,Moderate,140,25,347
317,81,24,56,54,42,52,10,16,28,19,86,17,12,8,15,153,6,1,339,37.9,60,66,7.67,6,8,16,Moderate,140,25,348
318,81,24,56,47,42,37,7,12,21,18,86,16,9,7,15,149,6,1,343,37.9,60,66,7.92,6,8,16,Moderate,140,25,349
319,80,24,56,48,43,37,8,12,21,19,86,16,9,6,15,149,6,1,313,37.9,60,66,7.92,6,8,16,Moderate,140,25,341
320,54,13,23,49,18,25,12,17,13,18,86,18,3,3,10,148,4,1,161,37.9,175,115,7.32,9,12,26,Poor,140,50,350
321,51,13,21,50,17,27,12,18,14,19,85,18,3,4,10,147,4,1,105,37.9,153,125,7.03,10,13,28,Poor,140,50,352
322,55,13,22,51,18,29,13,19,16,19,85,18,4,4,10,149,4,1,104,37.9,162,99,7.32,8,10,22,Poor,140,50,353
323,53,14,22,49,18,25,12,18,14,19,85,18,3,4,10,147,4,1,117,37.9,166,126,7.32,10,13,28,Poor,140,50,354
324,52,13,22,50,17,27,13,19,15,19,85,18,3,4,10,148,4,1,107,37.9,166,125,7.32,10,13,28,Poor,140,50,355
325,51,13,22,51,17,29,13,19,15,19,85,18,3,4,10,148,4,1,87,37.9,166,125,7.32,10,13,28,Poor,140,50,356
326,51,13,22,51,17,29,13,19,16,19,85,18,4,4,10,148,4,1,108,37.9,155,123,7.12,10,13,27,Poor,140,50,357
327,50,13,22,47,17,21,11,16,12,18,79,17,3,3,10,146,4,1,105,37.9,155,124,7.12,10,13,28,Poor,140,50,358
328,51,13,22,48,17,21,11,17,12,19,79,17,3,3,10,146,4,1,103,37.9,153,124,7.12,10,13,28,Poor,140,50,359
329,51,13,21,57,17,43,16,23,22,18,85,19,5,5,10,153,4,2,105,37.9,153,124,7.03,10,13,28,Poor,140,50,351
330,195,68,148,20,102,101,47,67,99,85,35,6,21,20,40,80,19,3,339,38.5,0,0,7.11,0,0,0,Poor,142,0,360
331,194,68,147,19,102,100,47,66,99,85,34,6,20,17,39,79,19,3,337,38.5,0,0,7.17,0,0,0,Poor,142,0,362
332,196,68,148,20,102,102,47,67,100,85,35,6,22,20,40,81,19,3,385,38.5,0,0,7.11,0,0,0,Poor,142,0,363
333,195,68,148,31,102,123,55,78,115,85,43,9,24,21,40,95,19,4,336,38.5,0,0,7.11,0,0,0,Poor,142,0,364
334,195,68,147,23,102,110,49,70,104,85,42,7,21,19,39,84,19,3,336,38.5,0,0,7.11,0,0,0,Poor,142,0,365
335,195,68,147,19,102,101,47,67,99,85,34,6,20,18,39,80,19,3,335,38.5,0,0,7.11,0,0,0,Poor,142,0,366
336,194,68,148,19,102,100,47,67,99,85,34,6,20,18,39,79,19,3,340,38.5,0,0,7.13,0,0,0,Poor,142,0,367
337,194,68,148,23,102,106,49,69,102,85,42,7,21,18,39,92,19,3,327,38.5,0,0,7.13,0,0,0,Poor,142,0,368
338,194,68,148,19,102,100,47,67,99,85,34,6,20,17,39,79,19,3,341,38.5,0,0,7.13,0,0,0,Poor,142,0,369
339,194,68,148,23,101,109,49,70,103,84,41,6,21,19,39,83,19,3,343,38.5,0,0,7.17,0,0,0,Poor,142,0,361
340,100,26,59,59,48,49,28,39,46,50,106,23,10,9,21,19,10,2,131,38.5,62,66,7.44,6,8,16,Poor,142,25,370
341,98,26,60,57,48,45,26,37,45,49,100,22,9,9,21,17,10,2,143,38.5,54,66,7.02,6,8,16,Moderate,142,25,372
342,100,26,60,57,48,45,26,37,45,50,100,23,9,8,21,17,10,2,134,38.5,53,66,7.44,6,8,16,Moderate,142,25,373
343,100,26,59,59,48,49,27,39,47,49,106,23,9,8,21,19,9,2,132,38.5,53,66,7.44,6,8,16,Moderate,142,25,374
344,99,26,60,60,48,51,27,39,48,50,107,23,10,9,21,20,10,2,134,38.5,55,66,7.1,6,8,16,Moderate,142,25,375
345,99,27,60,59,48,49,27,38,47,50,107,23,10,9,21,19,10,2,140,38.5,55,66,7.1,6,8,16,Moderate,142,25,376
346,99,26,59,61,48,49,27,39,47,49,106,0,10,9,21,26,10,2,130,38.5,55,66,7.1,6,8,16,Moderate,142,25,377
347,100,27,59,60,48,51,27,39,48,49,107,23,9,9,21,19,10,2,130,38.5,54,66,7.1,6,8,16,Moderate,142,25,378
348,99,26,59,59,47,50,28,39,47,49,107,23,9,8,21,19,10,2,132,38.5,54,66,7.02,6,8,16,Moderate,142,25,379
349,99,26,59,57,48,45,26,37,45,50,100,23,9,9,21,18,10,2,121,38.5,54,66,7.02,6,8,16,Moderate,142,25,371
350,69,23,53,54,32,40,24,30,17,32,101,19,5,5,11,156,4,1,37,38.5,185,176,7.1,17,21,45,Poor,142,50,380
351,71,23,53,50,31,31,21,27,13,32,94,18,4,4,11,153,4,1,31,38.5,179,178,6.97,17,21,45,Poor,142,50,382
352,67,22,51,51,31,34,22,28,15,32,95,19,4,4,11,154,4,1,32,38.5,185,178,7.1,17,21,45,Poor,142,50,383
353,67,22,53,54,31,39,24,30,17,32,101,19,4,5,11,156,4,1,52,38.5,184,178,7.1,17,21,45,Poor,142,50,384
354,68,22,52,44,31,18,17,22,7,31,95,17,3,3,11,149,4,0,40,38.5,183,179,7.1,17,21,45,Poor,142,50,385
355,71,22,52,46,31,19,18,23,8,31,95,18,3,3,11,154,4,1,33,38.5,183,179,6.99,17,21,45,Poor,142,50,386
356,73,23,55,48,31,28,19,25,12,31,94,18,3,4,11,152,4,1,31,38.5,182,179,6.99,17,21,45,Poor,142,50,387
357,73,23,55,55,32,42,23,29,18,31,100,19,4,5,11,156,4,1,30,38.5,180,177,6.99,17,21,45,Poor,142,50,388
358,72,23,54,52,31,34,21,27,15,31,94,19,4,4,11,154,4,1,30,38.5,180,178,6.99,17,21,45,Poor,142,50,389
359,72,23,54,52,31,35,22,28,15,32,94,19,4,4,11,155,4,1,31,38.5,179,178,6.97,17,21,45,Poor,142,50,381
480,157,47,108,8,83,82,34,49,72,64,15,1,15,13,31,53,13,2,322,36.7,0,0,7.34,0,0,0,Poor,15,0,500
481,157,48,109,3,83,67,31,45,63,64,18,0,14,12,31,47,13,2,329,36.8,0,0,7.34,0,0,0,Poor,15,0,511
482,157,47,108,8,83,82,34,49,72,64,15,1,15,13,31,53,13,2,329,36.7,0,0,7.34,0,0,0,Poor,15,0,513
483,157,47,108,3,83,70,31,44,64,64,19,23,13,11,31,47,13,2,336,36.7,0,0,7.34,0,0,0,Poor,15,0,514
484,157,47,108,8,83,82,34,49,72,64,15,1,15,12,31,53,13,1,365,36.7,0,0,7.34,0,0,0,Poor,15,0,515
485,157,47,109,12,83,90,36,51,76,64,19,1,15,13,31,57,13,2,354,36.7,0,0,7.25,0,0,0,Poor,15,0,516
486,157,47,109,11,83,89,36,51,76,64,19,1,16,13,31,57,13,2,342,36.7,0,0,7.25,0,0,0,Poor,15,0,517
