records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,capacitity_moist,temp,moist,ec_(u/10_gram),ph,nitro_(mg/10_g),posh_nitro_(mg/10_g),pota_nitro_(mg/10_g),Soil Health,Soil_Type,ML,Test_Case
22,34,11,27,44,11,22,6,9,139,10,65,14,2,2,3,124,2,1,81,38.2,102,66,7.42,6,8,16,Poor,100,50,56
23,49,12,22,47,16,21,16,17,145,10,66,16,2,2,5,126,2,1,34,36.1,113,97,7.03,8,10,22,Poor,100,50,57
23,33,11,26,47,11,25,7,10,140,10,71,14,2,2,3,124,2,1,86,38.2,102,66,7.42,6,8,16,Poor,100,50,58
24,44,11,20,48,15,24,17,18,147,10,71,17,2,3,5,128,2,1,31,36.1,114,98,7.9,8,10,22,Poor,100,50,59
24,33,11,26,46,11,28,7,10,141,10,71,14,2,3,3,125,2,1,72,38.3,102,66,7.02,6,8,16,Poor,100,50,41
25,40,10,18,45,13,19,15,16,144,10,65,16,2,2,5,126,2,1,25,36.1,114,99,7.9,8,10,22,Poor,100,50,42
25,33,11,26,40,11,10,4,7,135,10,71,13,1,1,3,121,2,0,77,38.3,102,66,7.02,6,8,16,Poor,100,50,43
26,37,10,18,48,13,25,17,18,147,10,70,17,2,3,5,128,2,1,24,36.1,114,99,7.9,8,10,22,Poor,100,50,44
26,33,11,26,48,11,28,7,11,141,10,71,15,2,3,3,128,2,1,68,38.3,101,66,7.02,6,8,16,Poor,100,50,45
27,35,9,17,55,12,40,20,22,5,10,70,18,3,4,5,132,2,2,35,36.1,114,99,7.9,8,10,22,Poor,100,50,46
27,33,11,26,46,11,26,7,10,141,10,71,14,2,3,3,124,2,1,63,38.3,101,66,7.02,6,8,16,Poor,100,50,47
28,33,9,16,47,11,22,16,17,145,10,70,17,2,2,5,127,2,1,33,36.1,114,100,7.87,8,10,22,Poor,100,50,48
28,33,11,26,36,11,5,2,5,134,10,65,13,0,1,3,119,2,0,126,38.3,101,66,6.93,6,8,16,Poor,100,50,49
29,32,8,16,40,11,4,11,12,138,10,65,15,1,1,4,126,2,1,18,36.1,114,101,7.87,8,10,23,Poor,100,50,50
29,33,11,25,45,11,25,7,10,140,10,71,14,2,2,3,124,2,1,62,38.3,101,66,6.93,6,8,16,Poor,100,50,52
30,139,41,98,6,75,77,37,55,71,65,15,1,13,10,28,40,12,2,347,38.5,0,0,7.56,0,0,0,Poor,101,0,60
31,136,42,97,2,74,68,35,51,65,64,7,0,12,10,27,36,12,2,337,38.5,0,0,6.97,0,0,0,Poor,101,0,62
32,137,41,97,3,75,70,35,52,66,65,7,0,13,10,27,36,12,2,351,38.5,0,0,7.56,0,0,0,Poor,101,0,63
33,137,41,97,2,74,69,35,51,65,65,7,0,12,10,27,36,12,2,336,38.5,0,0,7.56,0,0,0,Poor,101,0,64
34,137,42,98,2,75,69,35,52,65,65,7,0,12,10,27,36,12,2,298,38.5,0,0,7.56,0,0,0,Poor,101,0,65
35,137,41,97,3,74,70,35,52,66,65,7,0,13,10,27,36,12,2,342,38.5,0,0,6.94,0,0,0,Poor,101,0,66
36,136,41,97,2,74,69,35,52,66,65,7,0,13,10,27,36,12,2,348,38.5,0,0,6.94,0,0,0,Poor,101,0,67
37,136,41,97,3,75,69,35,52,65,65,7,0,13,10,27,37,12,2,345,38.5,0,0,6.94,0,0,0,Poor,101,0,68
38,136,42,97,14,75,96,42,62,81,65,14,3,15,12,27,46,12,3,346,38.5,0,0,6.94,0,0,0,Poor,101,0,69
39,136,41,98,14,74,96,42,62,80,65,13,3,15,12,27,46,12,3,343,38.5,0,0,6.97,0,0,0,Poor,101,0,61
40,81,22,47,58,39,43,17,25,25,29,83,19,5,5,10,139,6,2,166,38.5,0,0,6.97,0,0,0,Poor,101,25,70
41,79,22,48,57,39,41,17,25,24,29,82,19,5,5,11,139,6,1,183,38.5,193,39,6.92,5,6,11,Poor,101,25,72
42,80,21,47,57,39,41,16,25,24,29,83,19,5,5,10,139,6,1,186,38.5,196,45,7.05,5,6,12,Poor,101,25,73
43,81,22,47,58,39,42,17,25,25,29,83,19,5,5,10,139,6,1,174,38.5,196,46,7.05,5,6,12,Poor,101,25,74
44,80,22,47,54,39,35,15,23,21,29,78,19,5,4,10,137,6,1,174,38.5,195,46,7.05,5,6,12,Poor,101,25,75
45,80,21,47,57,39,42,17,26,25,29,83,19,6,5,10,139,6,1,165,38.5,189,45,6.93,5,6,12,Poor,101,25,76
46,80,22,47,57,39,40,16,24,24,29,84,19,5,5,10,139,6,1,182,38.5,189,46,6.93,5,6,12,Poor,101,25,77
47,80,22,47,58,39,43,17,25,25,29,84,19,6,5,10,139,6,1,183,38.5,188,45,6.93,5,6,12,Poor,101,25,78
48,80,22,47,55,39,37,15,23,22,29,78,19,5,4,10,137,6,1,184,38.5,188,45,6.93,5,6,12,Poor,101,25,79
49,79,22,47,55,39,36,15,23,22,29,78,19,5,5,10,138,6,1,188,38.5,192,35,6.92,5,6,10,Poor,101,25,71
50,53,13,27,45,23,15,12,19,6,29,80,17,2,3,9,135,4,1,114,38.5,154,147,7.45,13,16,34,Poor,101,50,80
51,47,12,24,51,21,31,16,24,14,28,81,18,4,4,9,140,4,1,116,38.5,150,152,7.04,13,16,35,Poor,101,50,82
52,52,13,26,52,22,32,16,25,14,29,80,18,4,4,9,140,4,1,112,38.5,152,148,7.45,13,16,34,Poor,101,50,83
53,51,13,26,51,22,29,15,24,13,29,80,18,4,4,9,139,4,1,115,38.5,152,149,7.09,13,16,34,Poor,101,50,84
54,51,13,26,48,22,24,14,22,11,28,75,17,3,3,9,138,4,1,114,38.5,153,150,7.09,13,16,34,Poor,101,50,85
55,50,13,25,50,21,28,15,23,13,28,80,18,4,4,9,139,4,1,119,38.5,153,150,7.09,13,16,34,Poor,101,50,86
56,50,12,25,49,21,25,14,22,11,28,75,17,3,3,9,138,4,1,117,38.5,152,150,7.09,13,16,34,Poor,101,50,87
57,49,12,25,43,21,13,12,19,6,28,80,17,2,2,9,135,4,1,117,38.5,151,151,7.04,13,16,35,Poor,101,50,88
58,49,12,25,58,21,46,19,29,21,28,81,19,5,5,9,144,4,2,120,38.5,151,151,7.04,13,16,35,Poor,101,50,89
59,48,12,25,58,21,46,19,29,21,28,80,19,5,5,9,144,4,2,113,38.5,150,150,7.04,13,16,35,Poor,101,50,81
60,86,21,57,51,41,30,19,31,21,47,91,20,5,4,14,152,8,1,323,37.4,0,0,7.91,0,0,0,Poor,102,0,90
61,85,21,56,54,40,40,21,33,27,47,86,21,6,5,14,155,8,1,336,37.4,0,0,7.22,0,0,0,Poor,102,0,92
62,86,21,57,46,40,23,17,27,18,47,91,19,4,4,14,150,8,1,322,37.4,0,0,7.3,0,0,0,Poor,102,0,93
63,85,21,56,57,40,47,23,36,30,47,91,22,6,5,14,157,8,2,320,37.4,0,0,7.3,0,0,0,Poor,102,0,94
64,86,21,57,58,40,49,24,36,31,47,90,22,7,6,14,1,8,2,383,37.4,0,0,7.3,0,0,0,Poor,102,0,95
65,86,21,57,57,40,47,23,36,30,47,91,22,6,5,14,1,8,2,334,37.4,0,0,7.3,0,0,0,Poor,102,0,96
66,85,21,56,54,40,40,21,33,26,47,86,21,6,5,14,155,8,1,332,37.4,0,0,7.22,0,0,0,Poor,102,0,97
67,86,21,56,48,40,27,18,29,20,47,91,20,5,4,14,151,8,1,333,37.4,0,0,7.22,0,0,0,Poor,102,0,98
68,85,21,56,54,40,41,21,34,27,47,86,21,6,5,14,155,8,1,312,37.4,0,0,7.22,0,0,0,Poor,102,0,99
69,85,21,56,58,40,49,24,36,31,47,91,22,6,6,14,1,8,2,330,37.4,0,0,7.22,0,0,0,Poor,102,0,91
70,35,6,15,48,9,26,8,12,146,11,70,16,2,2,5,132,2,1,118,37.5,35,49,7.31,5,6,13,Moderate,102,25,100
71,33,6,15,47,9,24,7,12,145,11,69,15,2,2,5,128,2,1,121,37.5,34,56,7.97,6,7,14,Moderate,102,25,102
72,35,6,15,44,9,20,6,10,144,12,65,15,2,2,5,127,2,1,99,37.5,35,51,7.31,5,7,13,Moderate,102,25,103
73,35,6,14,44,9,20,6,11,144,12,65,15,2,2,5,127,2,1,108,37.5,35,52,7.47,5,7,13,Moderate,102,25,104
74,34,6,15,45,9,24,7,12,146,12,70,15,2,2,5,128,2,1,103,37.5,34,53,7.47,6,7,14,Moderate,102,25,105
75,35,6,15,46,9,26,7,12,147,12,69,16,2,3,5,128,2,1,85,37.5,34,54,7.47,6,7,14,Moderate,102,25,106
76,34,6,14,47,9,24,7,12,146,12,70,16,2,2,5,131,2,1,94,37.5,35,54,8.02,6,7,14,Poor,102,25,107
77,34,6,15,44,9,20,6,10,144,12,65,15,2,2,5,127,2,1,117,37.5,34,55,8.02,6,7,14,Poor,102,25,108
78,33,6,15,45,9,24,7,12,146,12,70,15,2,2,5,128,2,1,124,37.5,34,56,8.02,6,7,14,Poor,102,25,109
79,33,6,15,45,9,23,7,11,145,11,70,15,2,2,5,128,2,1,117,37.5,34,56,8.02,6,7,14,Poor,102,25,101
80,32,5,14,48,7,26,11,15,142,12,67,16,2,2,3,126,2,1,104,37.5,160,97,7.32,8,10,22,Poor,102,50,110
81,30,6,15,43,7,18,8,12,138,12,63,15,1,2,3,121,2,1,103,37.5,156,104,8.02,8,11,23,Poor,102,50,112
82,31,6,14,43,7,18,9,13,138,12,63,15,1,2,3,121,2,0,104,37.5,160,98,7.32,8,10,22,Poor,102,50,113
83,31,5,14,48,7,27,11,16,142,12,67,16,2,2,3,126,2,1,94,37.5,159,99,7.23,8,10,22,Poor,102,50,114
84,31,5,14,45,7,22,10,14,140,12,68,15,1,2,3,122,2,1,102,37.5,159,100,7.23,8,10,22,Poor,102,50,115
85,31,5,14,43,7,19,9,13,138,12,63,15,1,2,3,121,2,1,100,37.5,159,101,7.23,8,10,23,Poor,102,50,116
86,31,6,14,43,6,18,9,12,138,12,64,15,1,2,3,121,2,1,102,37.5,158,102,7.23,8,11,23,Poor,102,50,117
87,31,5,14,47,7,23,10,14,140,12,67,16,2,2,3,126,2,1,102,37.5,158,102,8.02,8,11,23,Poor,102,50,118
88,31,5,14,46,7,25,10,14,141,12,67,15,2,2,3,123,2,1,101,37.5,157,102,8.02,8,11,23,Poor,102,50,119
89,31,6,14,43,7,19,9,12,138,12,63,15,1,2,3,121,2,1,104,37.5,156,103,8.02,8,11,23,Poor,102,50,111
90,123,35,76,61,58,55,28,42,60,60,6,23,12,10,27,42,11,2,335,38.3,0,0,7.97,0,0,0,Poor,104,0,120
91,122,35,76,61,57,54,28,42,59,60,5,23,10,9,26,42,11,2,323,38.3,0,0,7.96,0,0,0,Poor,104,0,122
92,123,35,76,1,57,61,29,44,64,60,12,0,12,10,27,45,11,2,332,38.3,0,0,7.97,0,0,0,Poor,104,0,123
93,123,35,76,61,58,55,28,42,60,60,5,23,10,9,26,42,11,2,334,38.3,0,0,7.97,0,0,0,Poor,104,0,124
94,123,34,76,61,58,55,28,42,60,58,5,23,10,9,26,42,11,2,334,38.3,0,0,7.97,0,0,0,Poor,104,0,125
95,123,35,76,9,57,79,34,50,74,60,12,1,13,11,26,52,11,2,341,38.3,0,0,7.97,0,0,0,Poor,104,0,126
96,123,35,76,61,58,54,28,42,59,60,5,23,10,9,26,42,11,2,355,38.3,0,0,7.97,0,0,0,Poor,104,0,127
97,123,35,76,10,58,80,34,51,75,60,12,2,14,12,26,52,11,2,327,38.3,0,0,7.97,0,0,0,Poor,104,0,128
98,122,35,76,53,58,36,23,35,48,60,5,21,8,8,26,33,12,1,333,38.3,0,0,7.97,0,0,0,Poor,104,0,129
99,123,35,75,10,58,81,35,51,76,60,13,2,14,12,26,52,11,2,332,38.3,0,0,7.96,0,0,0,Poor,104,0,121
100,84,21,39,53,28,32,12,19,9,23,85,17,5,6,12,153,5,1,210,38.2,21,36,7,5,6,11,Moderate,104,25,130
101,82,21,39,54,29,36,13,20,11,23,86,17,6,6,11,153,6,1,236,38.2,21,41,7.53,5,6,11,Moderate,104,25,132
102,83,21,39,51,28,29,12,18,8,22,80,17,5,5,11,151,5,1,241,38.2,22,37,7,5,6,11,Moderate,104,25,133
103,83,21,39,55,29,34,13,20,10,23,85,17,6,6,12,153,5,1,242,38.2,22,38,6.94,5,6,11,Moderate,104,25,134
104,83,21,38,52,28,31,12,19,9,22,86,17,6,6,12,153,5,1,227,38.2,22,39,6.94,5,6,11,Moderate,104,25,135
105,83,21,39,53,28,34,12,20,10,22,85,17,6,6,11,153,5,1,244,38.2,22,39,6.94,5,6,11,Moderate,104,25,136
106,82,21,39,62,29,53,17,25,19,23,85,19,7,8,11,2,5,2,258,38.2,22,39,6.94,5,6,11,Moderate,104,25,137
107,82,21,38,52,28,30,12,19,8,23,80,17,5,6,11,152,5,1,242,38.2,22,40,7.53,5,6,11,Moderate,104,25,138
108,82,21,39,46,28,14,8,14,1,23,80,16,4,5,12,151,5,1,245,38.2,22,41,7.53,5,6,11,Moderate,104,25,139
109,83,21,38,46,28,17,9,15,3,23,86,16,4,5,11,147,6,1,246,38.2,22,40,7.53,5,6,11,Moderate,104,25,131
110,31,10,18,44,9,19,14,20,146,27,71,16,2,3,6,132,3,1,136,38.1,115,66,7.57,6,8,16,Poor,104,50,140
111,30,9,16,45,8,19,14,20,146,26,71,16,2,3,5,131,3,1,150,38.1,111,66,7,6,8,16,Poor,104,50,142
112,30,10,18,45,8,20,14,20,146,26,71,16,2,3,6,132,3,1,52,38.1,115,66,7.57,6,8,16,Poor,104,50,143
113,30,10,17,38,9,4,10,15,140,26,71,15,1,2,5,128,3,0,131,38.1,113,66,7.57,6,8,16,Poor,104,50,144
114,30,10,17,40,8,4,11,16,140,26,71,15,1,2,5,131,3,1,142,38.1,113,66,7.12,6,8,16,Poor,104,50,145
115,30,10,17,44,9,19,14,20,146,26,71,16,2,3,5,132,3,1,127,38.1,113,66,7.12,6,8,16,Poor,104,50,146
116,31,10,17,54,9,40,19,27,7,26,77,18,4,5,5,137,3,1,131,38.1,112,66,7.12,6,8,16,Poor,104,50,147
117,30,9,17,44,9,19,14,20,146,26,71,16,2,3,5,132,3,1,135,38.1,111,66,7.12,6,8,16,Poor,104,50,148
118,30,10,16,54,8,39,19,26,6,26,77,18,4,5,5,137,3,1,172,38.1,111,66,7,6,8,16,Poor,104,50,149
119,30,9,16,43,8,15,13,19,144,26,71,16,2,3,5,131,3,1,127,38.1,111,66,7,6,8,16,Poor,104,50,141
120,151,42,101,22,103,95,19,25,128,34,44,21,24,13,41,92,18,2,311,35.5,0,0,7.68,0,0,0,Poor,106,0,150
121,150,43,103,24,104,95,20,26,127,34,46,22,24,13,41,98,18,2,324,35.5,0,0,7.54,0,0,0,Poor,106,0,152
122,152,43,103,23,104,97,20,26,129,34,45,21,25,13,41,94,18,2,322,35.5,0,0,7.68,0,0,0,Poor,106,0,153
123,151,43,103,22,104,94,19,25,126,34,45,21,24,13,41,92,18,2,298,35.5,0,0,7.68,0,0,0,Poor,106,0,154
124,151,43,103,23,104,97,20,26,128,34,45,21,24,13,41,93,18,2,330,35.5,0,0,7.68,0,0,0,Poor,106,0,155
125,151,43,103,22,104,93,19,26,125,34,46,21,24,13,41,91,18,2,299,35.5,0,0,7.55,0,0,0,Poor,106,0,156
126,151,43,103,18,105,87,18,23,124,35,38,20,23,12,41,88,18,2,314,35.5,0,0,7.55,0,0,0,Poor,106,0,157
